	store	address	phone	입력주소	X	Y	CLSS	PNU	주소구분	표준신주소	표준구주소	우편번호	행정동코드	행정동명	법정동코드	법정동명
0	학동역 DT점	서울시 강남구 학동로 211 1층  	02-3444-9973	서울시 강남구 학동로 211 1층  	127.0320655	37.5146878	정좌표	1.16801E+18	새주소	서울특별시 강남구 학동로 211	서울특별시 강남구 논현동 88-9	6052	1168053100	논현2동	1168010800	논현동
1	차병원점	서울시 강남구 논현로 566 강남차병원1층  	02-538-7615	서울시 강남구 논현로 566 강남차병원1층  	127.0348165	37.5066099	정좌표	1.16801E+18	새주소	서울특별시 강남구 논현로 566	서울특별시 강남구 역삼동 650-9	6135	1168064000	역삼1동	1168010100	역삼동
2	강남대로점	서울시 서초구 강남대로 369 1층  	02-588-5778	서울시 서초구 강남대로 369 1층  	127.0282173	37.4956621	정좌표	1.16501E+18	새주소	서울특별시 서초구 강남대로 369	서울특별시 서초구 서초동 1328-3	6621	1165052000	서초2동	1165010800	서초동
3	강남에스점	서울시 서초구 서초 1306-3호  	02-593-5095	서울시 서초구 서초 1306-3호  	127.0327471	37.4837784	시군구 좌표	11650	판별불가		서울특별시 서초구	NULL				
4	청담에스점	" 서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호   "	02-548-6052	"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호   "	127.0472583	37.5252725	정좌표	1.16801E+18	새주소	서울특별시 강남구 압구정로 461	서울특별시 강남구 청담동 118-17	6011	1168056500	청담동	1168010400	청담동
5	신사점	서울시 강남구 도산대로 126  	02-548-2741	서울시 강남구 도산대로 126  	127.0224095	37.516969	정좌표	1.16801E+18	새주소	서울특별시 강남구 도산대로 126	서울특별시 강남구 논현동 4-2	6039	1168052100	논현1동	1168010800	논현동
6	압구정역점	서울시 강남구 논현로 842 압구정빌딩1층  	02-544-6823	서울시 강남구 논현로 842 압구정빌딩1층  	127.0287656	37.5240497	정좌표	1.16801E+18	새주소	서울특별시 강남구 논현로 842	서울특별시 강남구 신사동 599	6025	1168054500	압구정동	1168010700	신사동
7	역삼점	" 서울시 강남구 논현로 512  지상1,2층   "	02-569-8051	"서울시 강남구 논현로 512  지상1,2층   "	127.0365338	37.502353	정좌표	1.16801E+18	새주소	서울특별시 강남구 논현로 512	서울특별시 강남구 역삼동 668-17	6140	1168064000	역삼1동	1168010100	역삼동
8	양재스포타임점	서울시 서초구 강남대로 213 24호 지하1층  	02-578-6833	서울시 서초구 강남대로 213 24호 지하1층  	127.0349871	37.4828055	정좌표	1.16501E+18	새주소	서울특별시 서초구 강남대로 213	서울특별시 서초구 양재동 24	6749	1165065100	양재1동	1165010200	양재동
9	청담성당점	서울시 강남구 삼성로 716 LEE76빌딩2층  	02-542-2053	서울시 강남구 삼성로 716 LEE76빌딩2층  	127.0500529	37.5199068	정좌표	1.16801E+18	새주소	서울특별시 강남구 삼성로 716	서울특별시 강남구 청담동 76	6074	1168056500	청담동	1168010400	청담동
